program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,stand_up,money,bed_time,good_day
Computational Science,yes,no,yes,yes,male,neither,no,0.25,01:00,Food
Computational Science,no,no,yes,yes,female,slim,no,10,01:30,Weather
Computational Science,no,no,yes,yes,female,slim,no,10,01:30,Food
Business Analytics,yes,no,yes,no,male,fat,no,1,23:30,Weather
Business Analytics,yes,no,yes,no,male,fat,no,1,23:30,Food
Business Analytics,yes,no,yes,no,female,fat,no,75,01:00,Weather
Business Analytics,yes,no,yes,no,female,fat,no,75,01:00,Food
Computational Science,yes,no,yes,no,male,neither,no,0,11:49,Weather
Computational Science,yes,no,yes,no,male,neither,no,0,11:49,Food
Computer Science,yes,yes,yes,yes,male,fat,no,80,00:30,Weather
Computer Science,yes,yes,yes,yes,male,fat,no,80,00:30,Food
Business Analytics,yes,yes,yes,yes,male,no idea,unknown,100,00:30,Weather
Business Analytics,yes,yes,yes,yes,male,no idea,unknown,100,00:30,Food
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,2,00:30,Weather
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,2,00:30,Food
Econometrics and Operations Research,no,yes,yes,no,male,fat,no,100,12:00,Weather
Econometrics and Operations Research,no,yes,yes,no,male,fat,no,100,12:00,Food
Artificial Intelligence,no,yes,yes,unknown,female,no idea,no,1,23:03,Weather
Artificial Intelligence,no,yes,yes,unknown,female,no idea,no,1,23:03,Food
Mathematics,yes,no,yes,no,male,neither,no,100,01:30,Work
Mathematics,yes,no,yes,no,male,neither,no,100,01:30,Food
Finance,no,no,yes,no,male,neither,no,5,00:30,Work
Finance,no,no,yes,no,male,neither,no,5,00:30,Food
Bioinformatics and Systems Biology,yes,yes,yes,yes,male,unknown,no,0.3,02:00,Work
Bioinformatics and Systems Biology,yes,yes,yes,yes,male,unknown,no,0.3,02:00,Food
Computational Science,no,no,yes,no,female,neither,no,0.25,23:30,Work
Computational Science,no,no,yes,no,female,neither,no,0.25,23:30,Food
Artificial intelligence ,no,unknown,yes,unknown,female,neither,no,1,00:00,Food
Artificial intelligence ,no,unknown,yes,unknown,female,neither,no,1,00:00,Free time
Business Analytics,yes,no,yes,no,male,fat,yes,200,00:00,Food
Business Analytics,yes,no,yes,no,male,fat,yes,200,00:00,Free time
Computer Science,no,no,yes,yes,female,no idea,no,100,03:00,Food
Computer Science,no,no,yes,yes,female,no idea,no,100,03:00,Free time
Drug Discovery and Safety,no,no,yes,no,male,fat,no,100,09:00,Food
Drug Discovery and Safety,no,no,yes,no,male,fat,no,100,09:00,Free time
Finance,no,no,yes,no,male,fat,no,0.25,00:30,Free time
Finance,no,no,yes,no,male,fat,no,0.25,00:30,Free time
Bioinformatics and Systems Biology,yes,yes,unknown,yes,male,slim,no,0.3,02:00,Free time
Bioinformatics and Systems Biology,yes,yes,unknown,yes,male,slim,no,0.3,02:00,Free time
Computational Science,yes,no,yes,no,male,no idea,yes,0.33,23:15,Free time
Computational Science,yes,no,yes,no,male,no idea,yes,0.33,23:15,Free time
Artificial Intelligence,no,no,yes,no,male,neither,no,unknown,01:00,Free time
Artificial Intelligence,no,no,yes,no,male,neither,no,unknown,01:00,Free time
Finance,no,no,yes,no,male,neither,no,0.3,00:15,Free time
Finance,no,no,yes,no,male,neither,no,0.3,00:15,Free time
Computational Science,yes,no,yes,no,male,neither,no,1,01:00,Free time
Computational Science,yes,no,yes,no,male,neither,no,1,01:00,Free time
Artificial Intelligence,no,no,yes,yes,female,no idea,no,0.75,23:15,Fun
Artificial Intelligence,no,no,yes,yes,female,no idea,no,0.75,23:15,Free time
Artificial Intelligence,yes,yes,yes,yes,male,no idea,no,99.99,01:00,Fun
Artificial Intelligence,yes,yes,yes,yes,male,no idea,no,99.99,01:00,Free time
Business Analytics,yes,yes,yes,yes,male,no idea,no,100,04:00,Sex
Business Analytics,yes,yes,yes,yes,male,no idea,no,100,04:00,Free time
Business Analytics,yes,no,yes,yes,female,neither,no,0.33,00:00,Sleep
Business Analytics,yes,no,yes,yes,female,neither,no,0.33,00:00,Free time
Science Business & Innovation,Sl,no,unknown,yes,male,neither,no,0.5,23:45,Sleep
