program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,stand_up,money,bed_time,good_day
PhD,no,no,yes,no,female,fat,no,1,10:30,Sleep
PhD,no,no,yes,no,female,fat,no,1,10:30,Weather
Business Analytics,yes,no,yes,no,male,neither,no,0.25,00:00,Sleep
Business Analytics,yes,no,yes,no,male,neither,no,0.25,00:00,Weather
Computational Science,no,no,no,no,male,slim,no,0.34,02:00,TV
Computational Science,no,no,no,no,male,slim,no,0.34,02:00,Weather
Computer Science,no,no,yes,yes,male,neither,no,1,01:00,unknown
Computer Science,no,no,yes,yes,male,neither,no,1,01:00,Weather
Finance,no,no,yes,yes,male,no idea,no,5,00:01,Weather
Finance,no,no,yes,yes,male,no idea,no,5,00:01,Weather
Econometrics and Operations Research,no,no,yes,no,male,neither,no,0.25,01:00,Weather
Econometrics and Operations Research,no,no,yes,no,male,neither,no,0.25,01:00,Weather
Business Analytics,yes,yes,yes,yes,male,no idea,no,100,01:00,Weather
Business Analytics,yes,yes,yes,yes,male,no idea,no,100,01:00,Weather
Artificial Intelligence,yes,yes,no,yes,female,fat,no,50,00:25,Weather
Artificial Intelligence,yes,yes,no,yes,female,fat,no,50,00:25,Weather
Computational Science,yes,yes,yes,no,male,neither,no,20,01:30,Coffee
Computational Science,yes,yes,yes,no,male,neither,no,20,01:30,Work
Bioinformatics and Systems Biology,yes,no,no,no,male,fat,no,1,23:59,Food
Bioinformatics and Systems Biology,yes,no,no,no,male,fat,no,1,23:59,Work
Computer Science,no,no,yes,yes,male,neither,no,0.25,01:48,Food
Computer Science,no,no,yes,yes,male,neither,no,0.25,01:48,Work
Business Analytics,yes,yes,yes,yes,male,neither,no,0.456,01:12,Food
Business Analytics,yes,yes,yes,yes,male,neither,no,0.456,01:12,Work
Econometrics and Operations Research,no,no,yes,unknown,female,fat,no,4,01:00,Free time
Econometrics and Operations Research,no,no,yes,unknown,female,fat,no,4,01:00,Work
Bioinformatics and Systems Biology,no,no,yes,yes,male,slim,no,100,02:00,unknown
Bioinformatics and Systems Biology,no,no,yes,yes,male,slim,no,100,02:00,Work
Artificial Intelligence,yes,yes,no,no,male,fat,no,100,00:30,Sleep
Artificial Intelligence,yes,yes,no,no,male,fat,no,100,00:30,Work
Artificial Intelligence,yes,no,yes,yes,male,neither,no,1,00:00,Sleep
Artificial Intelligence,yes,no,yes,yes,male,neither,no,1,00:00,Work
Bioinformatics and Systems Biology,no,no,yes,yes,male,no idea,no,3,00:00,Sleep
Bioinformatics and Systems Biology,no,no,yes,yes,male,no idea,no,3,00:00,Work
Computational Science,no,no,yes,no,male,no idea,no,10,23:30,Sports
Computational Science,no,no,yes,no,male,no idea,no,10,23:30,Work
Computational Science,yes,no,yes,yes,female,fat,yes,2,01:15,Sports
Computational Science,yes,no,yes,yes,female,fat,yes,2,01:15,Work
Artificial Intelligence,no,no,unknown,unknown,female,neither,unknown,0,22:47,Weather
Artificial Intelligence,no,no,unknown,unknown,female,neither,unknown,0,22:47,Work
Computer Science,no,no,unknown,yes,male,no idea,yes,unknown,01:00,Work
Computer Science,no,no,unknown,yes,male,no idea,yes,unknown,01:00,Work
Computer Science,yes,no,yes,yes,male,neither,no,100,02:00,Work
Computer Science,yes,no,yes,yes,male,neither,no,100,02:00,Work
