program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,stand_up,money,bed_time,good_day1,good_day2
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,no,0.25,01:05,Free time,Friends
Mathematics,no,no,yes,no,female,no idea,no,5,23:00,Sleep,Friends
Mathematics,unknown,no,yes,no,male,neither,no,50,23:58,Work,Friends
Econometrics and Operations Research,no,no,yes,no,male,neither,no,0.25,23:45,Sports,Food
Business Analytics,yes,yes,yes,yes,male,fat,no,0.25,23:55,Beer,Food
Computational Science,no,no,yes,no,female,neither,no,0.25,23:30,Work,Food
Bioinformatics and Systems Biology,no,no,yes,no,male,fat,no,10,23:30,Sleep,Food
Business Analytics,yes,no,yes,no,male,fat,no,1,23:30,Weather,Food
Business Analytics,yes,no,yes,no,female,fat,no,75,01:00,Weather,Food
Computational Science,yes,no,yes,no,male,neither,no,0,11:49,Weather,Food
Computer Science,yes,yes,yes,yes,male,fat,no,80,00:30,Weather,Food
Business Analytics,yes,yes,yes,yes,male,no idea,unknown,100,00:30,Weather,Food
Artificial Intelligence,yes,yes,yes,no,male,no idea,no,70,02:00,Sex,Food
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,no,2,00:30,Weather,Food
Business Analytics,yes,yes,yes,yes,male,neither,no,0.456,01:12,Food,Work
Business Analytics,yes,yes,yes,yes,male,neither,no,5,00:00,Sleep,unknown
Business Analytics,yes,yes,yes,yes,male,fat,no,0,01:00,Food,Sex
Computer Science,no,no,yes,yes,male,fat,unknown,10,01:30,Coffee,Sleep
Business Analytics,yes,yes,yes,yes,male,fat,no,0.25,00:30,Food,Sleep
PhD,no,no,yes,no,male,neither,no,0.25,23:30,Food,Sleep
Computer Science,no,yes,yes,no,male,neither,no,1,22:30,Sleep,Sleep
Finance,no,no,yes,no,male,neither,no,0.05,01:00,Work,Sleep
Business Analytics,yes,yes,yes,yes,male,slim,no,85,00:30,Sex,Sleep
Artificial Intelligence,no,no,yes,yes,male,no idea,no,5,01:15,Animals,Weather
Business Analytics,yes,yes,yes,yes,female,fat,no,25,23:15,Food,Weather
Bioinformatics and Systems Biology,yes,yes,yes,yes,female,neither,no,0.3,23:30,Food,Weather
Finance,no,no,yes,no,male,no idea,no,14,03:30,Coffee,Weather
Human Movement Science,no,no,yes,no,female,no idea,no,0.4,00:30,Coffee,Weather
Artificial Intelligence,yes,yes,yes,yes,male,fat,no,20,01:34,Coffee,Weather
Artificial Intelligence,yes,no,yes,no,male,no idea,no,15,23:00,Coffee,Weather
Bioinformatics and Systems Biology,no,no,yes,yes,male,fat,no,1,00:00,Sleep,Food
Computer Science,no,no,unknown,yes,male,no idea,yes,unknown,01:00,Work,Work
Science Business & Innovation,Sl,no,unknown,yes,male,neither,no,0.5,23:45,Sleep,Free time
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,no,1,00:13,Weather,unknown
Artificial Intelligence,yes,yes,yes,yes,female,no idea,no,50,23:14,Weather,unknown
Econometrics and Operations Research,no,no,yes,no,female,no idea,no,1,22:30,Coffee,Fun
Computer Science,yes,no,yes,yes,male,neither,no,100,02:00,Work,Work
Computer Science,yes,no,yes,yes,male,no idea,no,200,23:20,Food,Food
Econometrics and Operations Research,no,no,yes,no,female,fat,no,0.25,01:20,Food,Friends
Econometrics and Operations Research,no,yes,yes,no,male,fat,no,100,12:00,Weather,Food
Business Analytics,no,no,yes,no,male,fat,no,1,01:00,Sports,Friends
Bioinformatics and Systems Biology,no,no,no,no,female,neither,no,10,00:00,Weather,Friends
Computer Science,no,yes,yes,yes,male,no idea,no,0.25,00:00,Weather,Fun
Econometrics and Operations Research,no,no,yes,no,male,fat,no,2,02:00,Free time,unknown
Bioinformatics and Systems Biology,yes,yes,unknown,yes,male,slim,no,0.3,02:00,Free time,Free time
Artificial Intelligence,yes,no,yes,yes,male,fat,no,20,23:00,Coffee,unknown
Artificial Intelligence,yes,yes,yes,yes,female,no idea,no,0.3,02:00,Weather,unknown
Finance,no,no,yes,yes,male,fat,no,1,01:00,Food,TV
Business Analytics,yes,yes,yes,yes,female,no idea,yes,100,01:30,Sleep,TV
Computer Science,no,yes,yes,no,male,fat,no,1,01:00,Food,unknown
Artificial Intelligence,no,no,yes,no,male,neither,no,0.25,23:45,Fun,Food
Bioinformatics and Systems Biology,yes,no,no,no,female,slim,no,5,00:00,Sleep,Food
Computer Science,no,no,yes,yes,male,neither,no,1,01:00,unknown,Weather
Business Analytics,yes,no,yes,no,male,fat,yes,200,00:00,Food,Free time
Bioinformatics and Systems Biology,no,no,yes,yes,male,no idea,no,3,00:00,Sleep,Work
Bioinformatics and Systems Biology,yes,no,yes,no,male,fat,no,0.5,02:00,Weather,Free time
Computational Science,yes,no,yes,no,male,no idea,yes,0.33,23:15,Free time,Free time
 Management Policy Analysis and Entrepreneurship,no,no,yes,unknown,male,neither,no,100,11:00,Weather,Free time
Computational Science,yes,unknown,yes,yes,male,neither,no,80,03:00,Work,unknown
Artificial Intelligence,yes,yes,yes,no,female,neither,no,5,01:15,Weather,Free time
Computer Science,no,no,yes,yes,female,no idea,no,100,03:00,Food,Free time
Computer Science,no,no,yes,yes,male,fat,yes,10,02:00,Weather,Free time
Artificial Intelligence,no,no,yes,yes,female,no idea,no,0.75,23:15,Fun,Free time
Bioinformatics and Systems Biology,no,no,yes,no,female,fat,no,0.25,23:30,Food,Weather
Artificial Intelligence,no,yes,yes,yes,female,neither,no,1,03:00,Weather,Free time
Business Analytics,yes,yes,yes,yes,male,no idea,no,100,04:00,Sex,Free time
Econometrics and Operations Research,yes,yes,yes,yes,unknown,no idea,unknown,1,23:00,Free time,unknown
Computational Science,no,unknown,no,no,female,fat,no,0.1,23:00,Weather,Free time
Mathematics,yes,no,unknown,yes,female,neither,no,20,23:30,Work,Free time
Econometrics and Operations Research,no,no,no,no,male,fat,no,1,11:30,Work,Free time
Artificial Intelligence,yes,no,yes,yes,male,no idea,no,0.001,23:00,Coffee,Food
Artificial Intelligence,no,yes,yes,unknown,female,no idea,no,1,23:03,Weather,Food
Computational Science,no,no,yes,no,male,no idea,unknown,0.25,23:59,Food,Food
Computer Science,no,no,yes,yes,male,slim,no,100,22:00,Food,Sleep
Computational Science,yes,no,yes,yes,female,fat,yes,2,01:15,Sports,Work
Econometrics and Operations Research,no,no,yes,unknown,female,fat,no,4,01:00,Free time,Work
Econometrics and Operations Research,no,no,yes,no,male,neither,no,0.25,01:00,Weather,Weather
Business Analytics,yes,yes,yes,yes,male,fat,no,80,01:00,Sleep,Free time
Econometrics and Operations Research,yes,yes,yes,no,male,fat,no,100,00:35,Work,Free time
Drug Discovery and Safety,no,no,yes,no,male,fat,no,100,09:00,Food,Free time
Artificial Intelligence,yes,yes,yes,yes,male,no idea,no,99.99,01:00,Fun,Free time
Econometrics and Operations Research,no,no,yes,no,female,fat,no,0,11:50,Weather,unknown
Computational Science,yes,yes,yes,yes,male,neither,no,101,03:20,Food,Friends
